DispNum3;StDay;StMon;StYear;EndDay;EndMon;EndYear;SideA;RevState;RevType1;Fatality;FataPre;HiAct;HostLev;Orig
3239;27;7;1816;27;7;1816;1;1;2;0;0;16;4;1
3238;-9;6;1817;-9;6;1817;1;1;2;0;0;16;4;1
1567;15;3;1818;30;5;1818;1;1;1;-9;-9;14;4;1
3237;-9;9;1822;-9;9;1822;1;1;2;0;0;16;4;1
3236;8;4;1823;23;10;1823;1;1;2;0;0;16;4;1
3234;-9;11;1824;-9;11;1824;1;1;2;0;0;16;4;1
3235;-9;10;1824;-9;10;1824;1;1;2;0;0;16;4;1
3233;-9;3;1825;-9;3;1825;1;1;2;0;0;16;4;1
1524;-9;2;1834;-9;8;1834;0;0;0;0;0;0;1;1
301;-9;11;1835;-9;12;1835;0;1;2;0;0;8;3;1
1554;-9;12;1836;-9;5;1837;0;0;0;0;0;15;4;1
1555;4;4;1836;-9;7;1836;1;0;0;0;0;14;4;1
38;29;12;1837;5;1;1838;0;0;0;0;0;7;3;1
1553;-9;4;1838;-9;4;1838;0;0;0;0;0;0;1;1
15;-9;1;1839;23;3;1839;1;1;1;0;0;7;3;1
1556;-9;3;1839;-9;3;1839;1;0;0;0;0;7;3;1
2116;18;10;1842;26;10;1842;1;1;1;0;0;16;4;1
1552;23;8;1843;2;2;1848;1;1;1;6;-9;20;5;1
373;-9;1;1846;8;6;1846;0;1;1;0;0;0;1;1
1551;-9;11;1850;25;1;1851;1;1;2;0;0;3;2;1
1566;-9;6;1850;-9;12;1850;0;0;0;0;0;7;3;1
1755;-9;5;1852;-9;6;1852;1;1;1;0;0;7;3;1
121;2;7;1853;2;7;1853;1;1;2;0;0;7;3;1
144;9;7;1854;-9;10;1854;1;1;2;0;0;16;4;1
1565;28;2;1854;8;4;1854;0;0;0;0;0;1;2;1
1550;-9;10;1855;-9;10;1855;1;0;0;-9;-9;17;4;1
1564;7;3;1855;9;3;1855;0;0;0;0;0;4;2;1
380;10;5;1856;31;5;1856;0;0;0;0;0;7;3;1
1522;25;6;1856;11;10;1856;1;0;0;0;0;7;3;1
1496;20;8;1857;-9;9;1857;0;0;0;0;0;0;1;1
207;-9;1;1858;8;6;1858;0;1;2;0;0;7;3;1
2322;24;1;1858;-9;5;1858;0;0;0;0;0;0;1;1
1548;21;11;1859;4;1;1860;1;0;0;0;0;12;3;1
1549;2;3;1860;20;3;1860;1;1;3;-9;-9;17;4;1
1631;20;12;1860;20;12;1860;1;1;2;0;0;1;2;1
225;7;11;1861;26;12;1861;1;1;2;0;0;15;4;1
1761;2;4;1861;2;4;1861;1;1;2;0;0;1;2;1
13;20;7;1863;20;7;1863;1;0;0;0;0;1;2;0
239;22;7;1864;14;9;1864;1;1;2;-9;-9;16;4;1
2014;6;12;1864;6;12;1864;1;1;2;0;0;1;2;1
1800;1;8;1865;12;2;1866;1;1;2;0;0;7;3;1
1714;27;3;1866;31;3;1866;1;1;2;0;0;7;3;1
2003;27;4;1866;27;4;1866;1;1;2;0;0;1;2;1
2043;3;11;1866;3;11;1866;1;0;0;0;0;7;3;1
1525;20;8;1868;-9;8;1868;1;0;0;0;0;7;3;1
1532;-9;11;1869;-9;11;1869;1;1;2;0;0;7;3;1
220;22;8;1870;5;10;1870;1;0;0;0;0;7;3;0
2117;17;6;1870;18;6;1870;1;0;0;0;0;16;4;1
256;31;10;1873;10;11;1873;0;0;0;0;0;1;2;1
1547;6;5;1873;16;6;1873;1;1;2;0;0;12;3;1
1545;20;4;1875;12;7;1875;1;1;2;0;0;12;3;1
1559;7;12;1875;7;12;1875;1;1;2;0;0;1;2;1
1544;16;5;1876;20;8;1878;1;1;2;-9;-9;17;4;1
1543;-9;2;1880;-9;2;1880;1;1;2;0;0;7;3;1
1637;-9;1;1881;-9;1;1881;0;0;0;0;0;1;2;1
1681;-9;2;1881;-9;2;1881;1;1;2;0;0;1;2;1
1531;27;2;1882;27;2;1882;1;1;2;0;0;1;2;1
1517;22;1;1883;15;3;1883;1;1;1;0;0;1;2;1
1488;-9;10;1885;-9;11;1885;1;0;0;0;0;7;3;1
1535;10;3;1885;-9;3;1885;0;0;0;0;0;7;3;0
1542;30;6;1886;24;8;1886;0;0;0;0;0;0;1;1
3363;-9;6;1887;-9;6;1887;0;0;0;0;0;0;1;1
191;18;12;1888;16;3;1889;0;0;0;0;0;17;4;1
1530;16;10;1888;20;12;1888;0;0;0;0;0;7;3;1
1599;20;9;1889;30;9;1889;1;1;4;0;0;7;3;1
1512;-9;12;1891;25;1;1892;1;0;0;0;0;1;2;1
1529;21;2;1891;22;4;1891;1;1;1;0;0;7;3;1
1541;-9;9;1893;-9;9;1893;0;0;0;0;0;17;4;1
1644;11;2;1895;11;3;1895;0;0;0;0;0;7;3;0
3232;8;3;1895;8;3;1895;0;0;0;0;0;0;1;1
1558;7;12;1896;7;12;1896;1;1;2;0;0;1;2;1
2343;3;4;1896;21;4;1896;0;0;0;0;0;0;1;1
1557;3;1;1898;12;8;1898;1;1;1;6;-9;20;5;1
31;30;5;1900;16;8;1900;1;0;0;2;-9;20;5;1
68;-9;1;1900;9;2;1900;1;0;0;0;0;7;3;1
2;-9;7;1902;24;1;1903;1;1;1;0;0;7;3;1
254;8;12;1902;19;2;1903;0;0;0;0;0;7;3;0
159;2;11;1903;25;1;1904;1;1;4;0;0;13;4;1
2005;4;2;1903;4;2;1903;1;0;0;0;0;1;2;1
3301;1;10;1903;20;10;1903;1;1;1;0;0;1;2;1
164;31;5;1904;28;6;1904;1;1;2;0;0;7;3;1
247;-9;1;1905;-9;1;1905;1;1;2;0;0;7;3;1
1650;-9;7;1905;6;3;1906;1;0;0;0;0;7;3;1
1767;15;10;1908;25;10;1908;1;1;2;0;0;7;3;1
1203;3;1;1909;25;5;1909;1;1;2;0;0;7;3;1
249;-9;5;1910;-9;5;1910;1;1;3;0;0;7;3;1
1653;25;1;1911;29;2;1912;1;1;2;0;0;16;4;1
1734;2;1;1911;10;3;1911;1;1;2;0;0;16;4;1
2234;16;7;1911;3;8;1911;1;1;3;0;0;7;3;1
1652;15;8;1912;15;8;1912;1;1;2;0;0;1;2;1
2183;15;7;1913;19;5;1914;1;1;3;0;0;16;4;1
69;25;3;1914;29;11;1916;1;1;3;0;0;16;4;1
100;13;12;1914;9;9;1915;1;1;2;0;0;16;4;1
136;9;4;1914;23;11;1914;0;1;3;2;-9;17;4;1
398;10;2;1915;21;7;1915;1;0;0;0;0;1;2;1
1775;2;6;1915;-9;7;1915;1;1;3;0;0;1;2;1
321;10;3;1916;5;2;1917;1;0;0;-9;-9;17;4;1
322;13;5;1916;29;11;1916;1;1;2;-9;-9;14;4;1
399;9;10;1916;17;4;1917;0;0;0;-9;-9;21;5;1
2733;2;3;1916;2;3;1916;0;0;0;0;0;0;1;1
257;17;4;1917;11;11;1918;0;0;0;6;-9;20;5;0
1660;-9;2;1917;-9;5;1917;1;1;2;0;0;15;4;1
197;12;1;1918;1;4;1920;1;1;3;-9;-9;17;4;0
2184;30;3;1918;11;4;1918;0;0;0;-9;-9;17;4;1
2366;28;6;1918;12;10;1919;1;1;3;-9;-9;14;4;1
2606;12;1;1918;1;10;1920;1;1;3;-9;-9;14;4;0
2185;16;6;1919;25;2;1920;1;0;0;0;0;16;4;1
158;28;2;1921;9;9;1921;1;0;0;0;0;7;3;0
