"session","date","type","title","result","totalvotes","d-yes","r-yes","i-yes","d-no","r-no","i-no","d-nv","r-nv","i-nv"
"102","1991-05-21 14:36:00","h","Amendment 4 to H.R. 2100","Agreed to 260-163, 7 not voting","430","220","37","3","39","123","1","4","3","0"
"102","1991-05-21 15:43:00","h","Amendment 5 to H.R. 2100","Failed 167-255, 8 not voting","430","155","9","3","104","150","1","4","4","0"
"102","1991-05-21 16:48:00","h","Amendment 6 to H.R. 2100","Agreed to 357-58, 15 not voting","430","251","103","3","2","55","1","10","5","0"
"102","1991-05-21 17:45:00","h","Amendment 7 to H.R. 2100","Failed 143-275, 12 not voting","430","132","8","3","124","150","1","7","5","0"
"102","1991-05-22 13:33:00","h","Amendment 10 to H.R. 2100","Failed 161-265, 5 not voting","431","11","149","1","248","14","3","4","1","0"
"102","1991-05-22 13:42:00","h","Amendment 11 to H.R. 2100","Failed 109-317, 5 not voting","431","78","28","3","181","135","1","4","1","0"
"102","1991-05-22 13:50:00","h","Amendment 13 to H.R. 2100","Failed 157-269, 5 not voting","431","33","124","0","226","39","4","4","1","0"
"102","1991-05-22 14:01:00","h","Amendment 14 to H.R. 2100","Failed 197-231, 3 not voting","431","60","136","1","201","27","3","2","1","0"
"102","1991-05-22 14:10:00","h","Amendment 15 to H.R. 2100","Agreed to 220-208, 3 not voting","431","182","35","3","79","128","1","2","1","0"
"102","1991-05-22 15:25:00","h","On Passage - House - H.R. 2100 NATIONAL DEFENSE AUTHORIZATION ACT FOR FISCAL YEARS 1992 AND 1993","Passed 268-161, 2 not voting","431","240","25","3","22","138","1","1","1","0"
"102","1991-05-22 18:18:00","h","On the Conference Report - House - H.R. 2251 DIRE EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR HUMANITARIAN ASSISTANCE TO REFUGEES AND DISPLACED PERSONS IN AND AROUND IRAQ FOR FY 1991","Passed 387-33, 11 not voting","431","241","142","4","15","18","0","7","4","0"
"102","1991-05-29 17:54:00","h","Amendment 1 to H.R. 2427","Failed 165-251, 15 not voting","431","104","58","3","150","100","1","9","6","0"
"102","1991-05-29 18:45:00","h","Amendment 2 to H.R. 2427","Failed 92-320, 19 not voting","431","16","76","0","235","82","3","12","6","1"
"102","1991-05-29 19:08:00","h","On Passage - House - H.R. 2427 ENERGY AND WATER DEVELOPMENT APPROPRIATIONS FOR FY 1992","Passed 392-24, 15 not voting","431","250","139","3","4","19","1","9","6","0"
"102","1991-05-30 11:35:00","h","On Passage - House - H.R. 2426 MILITARY CONSTRUCTION APPROPRIATIONS FOR FY 1992","Passed 392-18, 21 not voting","431","246","142","4","3","15","0","14","7","0"
"102","1991-06-03 16:43:00","h","SUSPEND THE RULES AND PASS AS AMENDED: H.R. 1642 PALO ALTO BATTLEFIELD NATIONAL HISTORIC SITE","Passed 323-8, 100 not voting","431","199","122","2","0","8","0","64","34","2"
"102","1991-06-03 16:51:00","h","SUSPEND THE RULES AND PASS: H.R. 2042 FEDERAL FIRE PREVENTION AND CONTROL","Passed 326-5, 100 not voting","431","199","125","2","0","5","0","64","34","2"
